Date,Close/Last,Volume,Open,High,Low
08/13/2021,70.59,25349,71.12,71.39,70
08/12/2021,71.31,21983,71.58,71.89,70.68
08/11/2021,71.44,33670,70.91,71.63,69.07
08/10/2021,70.63,29988,69.29,71.23,68.97
08/09/2021,69.04,41792,70.06,70.06,67.61
08/06/2021,70.7,34982,71.26,72.43,70.28
08/05/2021,71.29,31664,70.25,71.5,69.75
08/04/2021,70.38,44003,72.33,72.82,70.12
08/03/2021,72.41,40922,73.23,73.53,71.04
08/02/2021,72.89,36957,75.18,75.33,72.31
07/30/2021,76.33,477,75.8,76.39,75.51
07/29/2021,76.05,7474,74.81,76.14,74.63
07/28/2021,74.74,19999,74.66,75.31,74.44
07/27/2021,74.48,25128,74.79,75.05,74.02
07/26/2021,74.5,30790,74.17,74.83,72.75
07/23/2021,74.1,22228,73.71,74.21,73.33
07/22/2021,73.79,30931,72.1,73.9,71.75
07/21/2021,72.23,40352,68.74,72.36,68.64
07/20/2021,69.35,41538,68.76,69.73,67.42
07/19/2021,68.62,57578,73,73.29,67.85
07/16/2021,73.59,32906,73.26,74.07,72.34
07/15/2021,73.47,40914,74.55,74.64,73.16
07/14/2021,74.76,48771,76.4,76.71,73.76
07/13/2021,76.49,30963,75.23,76.61,74.96
07/12/2021,75.16,31088,75.64,75.84,74.24
07/09/2021,75.55,31061,74.36,75.79,73.82
07/08/2021,74.12,40749,73.47,74.39,72.1
07/07/2021,73.43,50484,74.96,75.99,72.59
07/06/2021,74.53,57589,76.09,77.83,74.12
07/02/2021,76.17,30370,75.59,76.43,75.23
07/01/2021,75.84,51738,74.7,76.75,74.55
06/30/2021,75.13,412,75.14,75.6,74.54
06/29/2021,74.76,3790,74.6,75.51,73.91
06/28/2021,74.68,25868,76.16,76.59,74.52
06/25/2021,76.18,29727,75.61,76.21,74.95
06/24/2021,75.56,26269,75.37,75.77,74.52
06/23/2021,75.19,32229,74.76,76,74.73
06/22/2021,74.81,37451,74.81,75.29,74.34
06/21/2021,74.9,38104,73.33,74.95,72.98
06/18/2021,73.51,25713,73.07,73.75,72.18
06/17/2021,73.08,41097,73.98,74.49,72
06/16/2021,74.39,41544,74.3,74.96,73.89
06/15/2021,73.99,31045,73.1,74.33,72.78
06/14/2021,72.86,24995,72.49,73.64,72.49
06/11/2021,72.69,35490,72.39,73.08,71.88
06/10/2021,72.52,36625,72.09,72.64,70.95
06/09/2021,72.03,30605,72.14,72.88,71.82
06/08/2021,72.22,29385,71.39,72.41,70.72
06/07/2021,71.49,20580,71.7,72.26,71.1
06/04/2021,71.89,22970,71.35,71.93,71.58
06/03/2021,71.31,24333,71.27,71.45,70.95
06/02/2021,71.35,20880,70.56,71.49,70.81
06/01/2021,70.25,38662,70.56,70.59,70.48
05/28/2021,69.63,765,69.62,69.83,69.42
05/27/2021,69.46,5609,68.88,69.48,69.34
05/26/2021,68.87,20462,68.63,69.16,68.03
05/25/2021,68.65,19343,68.39,68.76,68.38
05/24/2021,68.46,28830,66.64,68.64,67.79
05/21/2021,66.44,31982,65.04,66.94,64.56
05/20/2021,65.11,33444,66.73,66.1,64.79
05/19/2021,66.66,41873,68.58,66.76,66.44
05/18/2021,68.71,42079,69.53,68.85,68.39
05/17/2021,69.46,24274,68.86,69.6,69.49
05/14/2021,68.71,30185,67.01,68.86,66.5
05/13/2021,67.05,37558,69.02,69.02,66.47
05/12/2021,69.32,30881,68.72,69.9,68.19
05/11/2021,68.55,38867,68.24,68.71,68.52
05/10/2021,68.32,31333,68.62,70.26,67.41
05/07/2021,68.28,28322,68.29,68.25,68.02
05/06/2021,68.09,24642,68.57,68.49,67.97
05/05/2021,68.96,31010,69.5,68.71,68.59
05/04/2021,68.88,25303,67.65,68.98,68.41
05/03/2021,67.56,17712,66.77,67.62,67.47
04/30/2021,67.25,1086,68.32,67.33,67.16
04/29/2021,68.56,7885,67.04,68.51,68.5
04/28/2021,67.27,23262,66.66,67.86,66.16
04/27/2021,66.42,29485,65.77,66.8,65.7
04/26/2021,65.65,26704,66.02,65.76,65.65
04/23/2021,66.11,20825,65.62,66.31,65.17
04/22/2021,65.4,26230,65.11,65.62,65.03
04/21/2021,65.32,31566,66.36,66.04,64.96
04/20/2021,66.57,38361,67.12,68.08,65.5
04/19/2021,67.05,19518,66.69,67.23,66.19
04/16/2021,66.77,23504,66.86,67.38,66.45
04/15/2021,66.94,23243,66.35,67.03,65.96
04/14/2021,66.58,35448,64.01,66.9,63.89
04/13/2021,63.67,26177,63.24,64.18,63.23
04/12/2021,63.28,35925,63.02,64.31,62.41
04/09/2021,62.95,28820,63.29,63.46,62.57
04/08/2021,63.2,31469,62.98,63.42,62.38
04/07/2021,63.16,41781,62.68,63.28,61.6
04/06/2021,62.74,43833,62.3,62.87,62.47
04/05/2021,62.15,37011,64.81,64.81,61.24
04/01/2021,64.86,65423,62.99,65.16,62.37
03/31/2021,63.54,257,64.48,64.69,63.59
03/30/2021,64.14,4029,65.31,65.65,63.64
03/29/2021,64.98,16677,64.04,65.14,64.67
03/26/2021,64.57,22194,61.74,64.88,61.74
03/25/2021,61.95,27487,64.15,64.15,60.98
03/24/2021,64.41,33152,60.35,64.56,60.34
03/23/2021,60.79,42797,64.31,64.34,60.26
03/22/2021,64.62,29260,64.66,65.07,63.45
03/19/2021,64.53,53604,62.83,64.9,62.08
03/18/2021,63.28,60315,67.93,68.15,61.42
03/17/2021,68,37246,68.39,68.88,66.96
03/16/2021,68.39,26847,68.86,68.96,67.36
03/15/2021,68.88,29627,69.12,70.02,67.83
03/12/2021,69.22,26780,69.59,69.9,69.03
03/11/2021,69.63,30177,68.26,69.83,68
03/10/2021,67.9,36606,67.33,68.43,66.82
03/09/2021,67.52,30528,68.1,69.32,67.14
03/08/2021,68.24,37137,69.9,71.36,67.81
03/05/2021,69.36,39966,67.26,69.69,66.66
03/04/2021,66.74,67280,63.94,67.25,66.77
03/03/2021,64.07,35008,62.47,64.14,63.8
03/02/2021,62.7,37510,63.39,63.38,62.37
03/01/2021,63.69,32914,64.71,63.49,63.18
02/26/2021,66.13,185,66.71,66.08,66.06
02/25/2021,66.88,10181,67.34,67.17,66.6
02/24/2021,67.04,24916,65.23,67.29,66.61
02/23/2021,65.37,32551,65.66,66.79,64.48
02/22/2021,65.24,31265,62.73,65.84,64.39
02/19/2021,62.91,47322,63.65,63.93,62.48
02/18/2021,63.93,41371,64.87,64.06,63.23
02/17/2021,64.34,45455,63.55,64.95,64.41
