"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Feb-2021","EQ","552.00","609.45","551.00","537.00","608.75","603.80","580.42","609.45","268.30",69354326,"40,254,748,010.30",677016
"29-Jan-2021","EQ","533.35","544.95","529.45","528.25","538.95","537.00","536.18","561.00","268.30",33172808,"17,786,697,557.65",299110
"28-Jan-2021","EQ","514.60","529.85","512.00","522.35","528.25","528.25","520.72","561.00","268.30",29836591,"15,536,378,116.80",340760
"27-Jan-2021","EQ","537.80","539.20","519.10","538.05","522.75","522.35","528.25","561.00","268.30",28049286,"14,817,089,783.20",346606
"25-Jan-2021","EQ","536.55","542.30","531.20","533.80","537.30","538.05","536.87","561.00","268.30",23415249,"12,570,891,207.30",230605
"22-Jan-2021","EQ","553.10","553.50","530.60","552.70","532.00","533.80","540.16","561.00","268.30",24515997,"13,242,669,845.85",286973
"21-Jan-2021","EQ","555.00","561.00","549.70","551.00","553.10","552.70","556.10","561.00","268.30",18189277,"10,115,112,199.80",239999
"20-Jan-2021","EQ","546.45","554.60","546.00","546.45","550.75","551.00","551.04","561.00","268.30",16097138,"8,870,139,857.90",203783
"19-Jan-2021","EQ","539.00","547.75","533.90","533.15","547.00","546.45","540.53","561.00","268.30",20575358,"11,121,615,616.55",173894
"18-Jan-2021","EQ","544.50","548.40","528.90","543.00","530.45","533.15","539.34","561.00","268.30",21580313,"11,639,068,880.85",242319
"15-Jan-2021","EQ","550.00","551.00","541.50","553.30","541.95","543.00","545.13","561.00","268.30",15708956,"8,563,445,988.75",256949
"14-Jan-2021","EQ","554.05","558.45","550.60","556.50","553.60","553.30","553.49","561.00","268.30",13330898,"7,378,501,384.15",204427
"13-Jan-2021","EQ","551.50","561.00","548.25","548.00","556.00","556.50","554.80","561.00","268.30",21920297,"12,161,343,003.50",228055
"12-Jan-2021","EQ","541.00","550.65","537.10","544.70","547.95","548.00","544.09","554.40","268.30",16388310,"8,916,650,749.60",225207
"11-Jan-2021","EQ","545.15","546.00","535.00","542.05","545.20","544.70","540.62","554.40","268.30",19394393,"10,485,070,657.75",201986
"08-Jan-2021","EQ","547.00","547.10","536.35","541.10","542.00","542.05","541.01","554.40","268.30",21937965,"11,868,728,979.40",169218
"07-Jan-2021","EQ","552.15","554.40","539.75","546.70","542.25","541.10","546.20","554.40","268.30",21138034,"11,545,579,387.45",204824
"06-Jan-2021","EQ","538.75","550.60","535.85","537.25","544.90","546.70","544.25","550.70","268.30",28178838,"15,336,313,218.10",256515
"05-Jan-2021","EQ","526.65","539.95","523.00","531.70","536.65","537.25","530.42","550.70","268.30",23311516,"12,364,979,110.35",198989
"04-Jan-2021","EQ","532.30","535.00","524.30","527.50","531.70","531.70","530.07","550.70","268.30",16549750,"8,772,513,233.75",179521
"01-Jan-2021","EQ","535.55","537.00","526.10","535.05","527.80","527.50","529.68","552.20","268.30",13592625,"7,199,709,123.40",156898
"31-Dec-2020","EQ","530.10","538.50","526.50","528.75","534.00","535.05","534.42","552.20","268.30",27817770,"14,866,484,569.75",213687
"30-Dec-2020","EQ","531.65","533.00","524.55","528.80","527.60","528.75","527.72","552.20","268.30",21365141,"11,274,861,112.50",174183
"29-Dec-2020","EQ","522.55","530.80","517.85","520.10","530.10","528.80","524.61","552.20","268.30",19092649,"10,016,116,974.55",210508
"28-Dec-2020","EQ","515.90","521.20","513.60","513.55","520.50","520.10","518.24","552.20","268.30",14470472,"7,499,174,202.40",135145
"24-Dec-2020","EQ","506.75","515.95","505.10","503.60","513.05","513.55","512.50","552.20","268.30",17576807,"9,008,152,086.30",161245
"23-Dec-2020","EQ","499.00","505.50","496.55","500.30","505.00","503.60","501.45","552.20","268.30",19205951,"9,630,775,716.20",146815
"22-Dec-2020","EQ","497.30","501.80","489.10","494.50","499.55","500.30","495.79","552.20","268.30",32328041,"16,027,888,554.50",298026
"21-Dec-2020","EQ","514.60","514.70","488.20","517.15","492.30","494.50","502.71","552.20","268.30",29157759,"14,657,894,000.45",282306
"18-Dec-2020","EQ","514.00","518.25","509.15","510.40","515.95","517.15","513.69","552.20","268.30",21735833,"11,165,404,700.70",174566
"17-Dec-2020","EQ","514.00","516.50","509.10","512.45","511.30","510.40","512.34","552.20","268.30",23883288,"12,236,460,854.55",218945
"16-Dec-2020","EQ","520.05","521.70","511.10","518.05","512.50","512.45","515.44","552.20","268.30",24263586,"12,506,468,426.15",248492
