,ID,Response
0,50883,1
1,50884,0
2,50885,1
3,50886,0
4,50887,0
5,50888,0
6,50889,0
7,50890,0
8,50891,0
9,50892,1
10,50893,0
11,50894,0
12,50895,0
13,50896,0
14,50897,0
15,50898,1
16,50899,0
17,50900,0
18,50901,1
19,50902,0
20,50903,0
21,50904,0
22,50905,0
23,50906,0
24,50907,0
25,50908,0
26,50909,0
27,50910,0
28,50911,1
29,50912,1
30,50913,0
31,50914,0
32,50915,0
33,50916,0
34,50917,0
35,50918,1
36,50919,0
37,50920,1
38,50921,0
39,50922,0
40,50923,0
41,50924,0
42,50925,1
43,50926,0
44,50927,0
45,50928,0
46,50929,1
47,50930,0
48,50931,0
49,50932,1
50,50933,1
51,50934,0
52,50935,0
53,50936,0
54,50937,0
55,50938,0
56,50939,1
57,50940,0
58,50941,1
59,50942,1
60,50943,1
61,50944,1
62,50945,0
63,50946,1
64,50947,0
65,50948,0
66,50949,1
67,50950,0
68,50951,0
69,50952,1
70,50953,1
71,50954,0
72,50955,0
73,50956,0
74,50957,0
75,50958,0
76,50959,0
77,50960,1
78,50961,0
79,50962,0
80,50963,0
81,50964,0
82,50965,0
83,50966,0
84,50967,0
85,50968,0
86,50969,1
87,50970,0
88,50971,0
89,50972,0
90,50973,0
91,50974,0
92,50975,0
93,50976,0
94,50977,0
95,50978,0
96,50979,0
97,50980,1
98,50981,0
99,50982,0
100,50983,1
101,50984,1
102,50985,0
103,50986,1
104,50987,0
105,50988,1
106,50989,0
107,50990,0
108,50991,1
109,50992,0
110,50993,0
111,50994,0
112,50995,0
113,50996,0
114,50997,0
115,50998,0
116,50999,0
117,51000,0
118,51001,0
119,51002,0
120,51003,1
121,51004,0
122,51005,0
123,51006,0
124,51007,1
125,51008,1
126,51009,0
127,51010,1
128,51011,0
129,51012,0
130,51013,0
131,51014,0
132,51015,0
133,51016,0
134,51017,0
135,51018,0
136,51019,1
137,51020,0
138,51021,1
139,51022,1
140,51023,1
141,51024,0
142,51025,0
143,51026,0
144,51027,0
145,51028,0
146,51029,1
147,51030,1
148,51031,1
149,51032,0
150,51033,0
151,51034,1
152,51035,1
153,51036,1
154,51037,1
155,51038,0
156,51039,1
157,51040,0
158,51041,0
159,51042,0
160,51043,1
161,51044,0
162,51045,0
163,51046,0
164,51047,0
165,51048,0
166,51049,1
167,51050,0
168,51051,0
169,51052,0
170,51053,0
171,51054,0
172,51055,1
173,51056,0
174,51057,0
175,51058,0
176,51059,1
177,51060,1
178,51061,0
179,51062,0
180,51063,0
181,51064,0
182,51065,0
183,51066,1
184,51067,1
185,51068,0
186,51069,1
187,51070,0
188,51071,0
189,51072,1
190,51073,0
191,51074,0
192,51075,0
193,51076,0
194,51077,1
195,51078,0
196,51079,0
197,51080,0
198,51081,0
199,51082,0
200,51083,0
201,51084,1
202,51085,0
203,51086,1
204,51087,0
205,51088,0
206,51089,0
207,51090,0
208,51091,0
209,51092,0
210,51093,1
211,51094,0
212,51095,0
213,51096,0
214,51097,0
215,51098,0
216,51099,0
217,51100,0
218,51101,0
219,51102,0
220,51103,1
221,51104,0
222,51105,1
223,51106,0
224,51107,0
225,51108,1
226,51109,0
227,51110,0
228,51111,0
229,51112,0
230,51113,0
231,51114,0
232,51115,0
233,51116,1
234,51117,0
235,51118,0
236,51119,1
237,51120,1
238,51121,0
239,51122,0
240,51123,1
241,51124,0
242,51125,1
243,51126,0
244,51127,0
245,51128,0
246,51129,0
247,51130,0
248,51131,0
249,51132,0
250,51133,1
251,51134,1
252,51135,0
253,51136,1
254,51137,0
255,51138,0
256,51139,1
257,51140,0
258,51141,0
259,51142,0
260,51143,0
261,51144,1
262,51145,0
263,51146,0
264,51147,0
265,51148,0
266,51149,0
267,51150,1
268,51151,0
269,51152,0
270,51153,1
271,51154,0
272,51155,0
273,51156,0
274,51157,0
275,51158,0
276,51159,0
277,51160,1
278,51161,0
279,51162,1
280,51163,0
281,51164,0
282,51165,0
283,51166,0
284,51167,0
285,51168,0
286,51169,0
287,51170,0
288,51171,0
289,51172,0
290,51173,0
291,51174,0
292,51175,0
293,51176,0
294,51177,1
295,51178,0
296,51179,1
297,51180,0
298,51181,0
299,51182,1
300,51183,0
301,51184,0
302,51185,1
303,51186,0
304,51187,0
305,51188,0
306,51189,0
307,51190,0
308,51191,0
309,51192,0
310,51193,0
311,51194,1
312,51195,0
313,51196,0
314,51197,0
315,51198,1
316,51199,0
317,51200,0
318,51201,0
319,51202,0
320,51203,0
321,51204,0
322,51205,0
323,51206,0
324,51207,0
325,51208,0
326,51209,1
327,51210,0
328,51211,0
329,51212,0
330,51213,0
331,51214,0
332,51215,0
333,51216,0
334,51217,0
335,51218,0
336,51219,0
337,51220,1
338,51221,0
339,51222,0
340,51223,0
341,51224,0
342,51225,0
343,51226,0
344,51227,1
345,51228,0
346,51229,0
347,51230,1
348,51231,1
349,51232,0
350,51233,0
351,51234,0
352,51235,1
353,51236,0
354,51237,0
355,51238,0
356,51239,1
357,51240,0
358,51241,0
359,51242,0
360,51243,0
361,51244,0
362,51245,1
363,51246,0
364,51247,0
365,51248,0
366,51249,0
367,51250,1
368,51251,0
369,51252,0
370,51253,0
371,51254,0
372,51255,1
373,51256,0
374,51257,0
375,51258,0
376,51259,0
377,51260,1
378,51261,1
379,51262,0
380,51263,0
381,51264,1
382,51265,0
383,51266,0
384,51267,0
385,51268,0
386,51269,1
387,51270,0
388,51271,0
389,51272,0
390,51273,0
391,51274,0
392,51275,0
393,51276,0
394,51277,0
395,51278,0
396,51279,0
397,51280,0
398,51281,0
399,51282,0
400,51283,0
401,51284,0
402,51285,0
403,51286,0
404,51287,0
405,51288,0
406,51289,0
407,51290,1
408,51291,0
409,51292,0
410,51293,1
411,51294,0
412,51295,0
413,51296,1
414,51297,0
415,51298,0
416,51299,0
417,51300,0
418,51301,1
419,51302,0
420,51303,0
421,51304,0
422,51305,1
423,51306,0
424,51307,0
425,51308,0
426,51309,1
427,51310,1
428,51311,0
429,51312,0
430,51313,1
431,51314,0
432,51315,0
433,51316,0
434,51317,0
435,51318,0
436,51319,1
437,51320,1
438,51321,0
439,51322,0
440,51323,1
441,51324,1
442,51325,0
443,51326,1
444,51327,0
445,51328,1
446,51329,0
447,51330,0
448,51331,0
449,51332,1
450,51333,0
451,51334,0
452,51335,0
453,51336,0
454,51337,0
455,51338,1
456,51339,0
457,51340,0
458,51341,0
459,51342,0
460,51343,1
461,51344,0
462,51345,0
463,51346,0
464,51347,0
465,51348,0
466,51349,0
467,51350,1
468,51351,0
469,51352,0
470,51353,0
471,51354,1
472,51355,0
473,51356,0
474,51357,0
475,51358,0
476,51359,0
477,51360,0
478,51361,1
479,51362,0
480,51363,0
481,51364,1
482,51365,0
483,51366,1
484,51367,1
485,51368,0
486,51369,1
487,51370,0
488,51371,1
489,51372,1
490,51373,1
491,51374,1
492,51375,0
493,51376,0
494,51377,0
495,51378,0
496,51379,1
497,51380,1
498,51381,0
499,51382,0
500,51383,0
501,51384,1
502,51385,0
503,51386,0
504,51387,0
505,51388,0
506,51389,1
507,51390,0
508,51391,0
509,51392,0
510,51393,1
511,51394,0
512,51395,0
513,51396,0
514,51397,0
515,51398,1
516,51399,0
517,51400,0
518,51401,0
519,51402,1
520,51403,0
521,51404,1
522,51405,1
523,51406,0
524,51407,0
525,51408,0
526,51409,0
527,51410,0
528,51411,1
529,51412,1
530,51413,1
531,51414,1
532,51415,0
533,51416,0
534,51417,0
535,51418,0
536,51419,0
537,51420,1
538,51421,0
539,51422,0
540,51423,0
541,51424,0
542,51425,0
543,51426,0
544,51427,0
545,51428,0
546,51429,0
547,51430,0
548,51431,0
549,51432,0
550,51433,0
551,51434,0
552,51435,0
553,51436,0
554,51437,0
555,51438,0
556,51439,0
557,51440,0
558,51441,1
559,51442,0
560,51443,1
561,51444,1
562,51445,1
563,51446,0
564,51447,0
565,51448,0
566,51449,1
567,51450,0
568,51451,1
569,51452,0
570,51453,0
571,51454,0
572,51455,0
573,51456,0
574,51457,0
575,51458,1
576,51459,0
577,51460,0
578,51461,1
579,51462,0
580,51463,0
581,51464,0
582,51465,0
583,51466,0
584,51467,0
585,51468,0
586,51469,1
587,51470,0
588,51471,1
589,51472,1
590,51473,0
591,51474,1
592,51475,0
593,51476,0
594,51477,0
595,51478,0
596,51479,0
597,51480,0
598,51481,0
599,51482,0
600,51483,0
601,51484,1
602,51485,0
603,51486,0
604,51487,0
605,51488,0
606,51489,0
607,51490,1
608,51491,0
609,51492,0
610,51493,0
611,51494,0
612,51495,0
613,51496,0
614,51497,1
615,51498,0
616,51499,0
617,51500,0
618,51501,0
619,51502,0
620,51503,0
621,51504,1
622,51505,1
623,51506,0
624,51507,0
625,51508,1
626,51509,1
627,51510,0
628,51511,0
629,51512,0
630,51513,1
631,51514,0
632,51515,0
633,51516,0
634,51517,0
635,51518,0
636,51519,0
637,51520,1
638,51521,0
639,51522,0
640,51523,0
641,51524,0
642,51525,0
643,51526,1
644,51527,0
645,51528,0
646,51529,0
647,51530,0
648,51531,0
649,51532,0
650,51533,1
651,51534,1
652,51535,1
653,51536,0
654,51537,0
655,51538,1
656,51539,0
657,51540,0
658,51541,0
659,51542,0
660,51543,0
661,51544,0
662,51545,1
663,51546,0
664,51547,0
665,51548,0
666,51549,1
667,51550,0
668,51551,0
669,51552,0
670,51553,0
671,51554,1
672,51555,1
673,51556,1
674,51557,0
675,51558,0
676,51559,0
677,51560,0
678,51561,0
679,51562,1
680,51563,0
681,51564,0
682,51565,0
683,51566,1
684,51567,0
685,51568,0
