car id,origin,Condition
1,1,good
2,1,good
3,1,good
4,1,good
5,1,good
6,1,good
7,1,poor
8,1,poor
9,1,poor
10,1,good
11,1,good
12,1,poor
13,1,good
14,1,poor
15,3,good
16,1,good
17,1,good
18,1,good
19,3,
20,2,excellent
21,2,good
22,2,good
23,2,good
24,2,excellent
25,1,good
26,1,poor
27,1,poor
28,1,poor
29,1,poor
30,3,
31,1,excellent
32,3,good
33,1,good
34,1,good
35,1,good
36,1,good
37,1,good
38,1,good
39,1,poor
40,1,poor
41,1,poor
42,1,poor
43,1,poor
44,1,poor
45,1,poor
46,1,good
47,1,good
48,1,good
49,1,good
50,1,good
51,2,excellent
52,2,excellent
53,2,excellent
54,3,excellent
55,3,excellent
56,2,
57,1,excellent
58,3,good
59,1,good
60,2,good
61,1,good
62,1,good
63,1,poor
64,1,poor
65,1,good
66,1,poor
67,1,good
68,1,poor
69,1,poor
70,1,poor
71,1,poor
72,3,good
73,1,good
74,1,poor
75,1,poor
76,1,poor
77,2,good
78,2,good
79,2,good
80,2,excellent
81,1,good
82,3,excellent
83,3,good
84,1,excellent
85,3,
86,1,poor
87,1,poor
88,1,poor
89,1,poor
90,1,good
91,1,poor
92,1,poor
93,1,poor
94,1,poor
95,1,poor
96,1,poor
97,1,poor
98,1,good
99,1,good
100,1,good
101,1,good
102,1,good
103,2,excellent
104,1,poor
105,1,poor
106,1,poor
107,1,poor
108,1,good
109,3,good
110,1,good
111,3,good
112,3,good
113,1,good
114,1,good
115,2,excellent
116,1,good
117,1,good
118,2,excellent
119,2,good
120,2,good
121,2,good
122,1,good
123,2,good
124,3,good
125,1,poor
126,1,good
127,1,good
128,1,good
129,1,good
130,3,excellent
131,1,excellent
132,3,excellent
133,1,good
134,1,good
135,1,good
136,1,good
137,1,good
138,1,poor
139,1,poor
140,1,poor
141,1,poor
142,2,excellent
143,2,excellent
144,2,excellent
145,3,excellent
146,3,excellent
147,1,excellent
148,2,good
149,2,excellent
150,3,good
151,3,excellent
152,2,excellent
153,1,good
154,1,good
155,1,good
156,1,good
157,1,good
158,1,good
159,1,good
160,1,poor
161,1,good
162,1,good
163,1,good
164,1,good
165,1,good
166,1,good
167,1,poor
168,3,excellent
169,1,good
170,1,good
171,1,good
172,3,good
173,2,good
174,3,good
175,1,good
176,2,excellent
177,1,good
178,2,good
179,2,good
180,2,good
181,2,good
182,3,excellent
183,2,excellent
184,2,good
185,1,good
186,1,excellent
187,2,
188,1,good
189,1,good
190,1,good
191,1,poor
192,1,good
193,1,good
194,1,good
195,1,good
196,1,excellent
197,1,good
198,2,excellent
199,3,excellent
200,1,good
201,1,good
202,1,good
203,1,good
204,2,excellent
205,3,excellent
206,3,excellent
207,1,
208,2,good
209,1,poor
210,2,good
211,3,good
212,2,good
213,1,good
214,1,poor
215,1,poor
216,1,poor
217,3,excellent
218,1,excellent
219,2,excellent
220,1,good
221,3,excellent
222,1,good
223,1,good
224,1,good
225,1,good
226,1,good
227,1,good
228,1,good
229,1,good
230,1,good
231,1,good
232,1,good
233,1,good
234,2,excellent
235,1,good
236,3,excellent
237,1,good
238,1,excellent
239,1,excellent
240,3,excellent
241,2,excellent
242,3,good
243,2,good
244,3,good
245,2,excellent
246,1,excellent
247,3,excellent
248,3,excellent
249,3,excellent
250,1,good
251,1,good
252,1,good
253,1,good
254,1,good
255,1,good
256,1,good
257,1,good
258,1,good
259,1,good
260,1,good
261,1,good
262,1,good
263,1,good
264,1,good
265,1,good
266,1,good
267,1,excellent
268,3,excellent
269,3,
270,1,excellent
271,3,good
272,1,good
273,1,good
274,3,good
275,2,good
276,2,good
277,2,good
278,2,good
279,2,excellent
280,3,excellent
281,1,good
282,1,good
283,1,good
284,1,good
285,1,good
286,1,good
287,1,good
288,1,good
289,1,good
290,1,good
291,1,good
292,1,good
293,1,good
294,2,excellent
295,3,excellent
296,1,excellent
297,1,excellent
298,2,good
299,1,good
300,2,
301,1,good
302,1,excellent
303,1,excellent
304,3,excellent
305,2,excellent
306,1,excellent
307,1,excellent
308,1,
309,1,excellent
310,2,excellent
311,3,excellent
312,1,excellent
313,3,excellent
314,1,excellent
315,1,
316,1,good
317,1,good
318,2,excellent
319,3,excellent
320,3,excellent
321,3,excellent
322,3,excellent
323,3,excellent
324,1,excellent
325,3,excellent
326,2,excellent
327,2,excellent
328,2,excellent
329,2,excellent
330,3,excellent
331,2,excellent
332,3,excellent
333,2,excellent
334,3,excellent
335,3,good
336,2,excellent
337,1,good
338,3,excellent
339,1,
340,1,
341,1,good
342,1,good
343,1,excellent
344,3,excellent
345,1,excellent
346,3,excellent
347,3,excellent
348,3,excellent
349,3,excellent
350,3,excellent
351,1,excellent
352,1,excellent
353,1,excellent
354,2,excellent
355,2,excellent
356,3,excellent
357,3,excellent
358,3,excellent
359,3,excellent
360,2,excellent
361,2,excellent
362,3,good
363,3,good
364,1,good
365,1,
366,1,good
367,1,good
368,1,excellent
369,1,
370,1,excellent
371,1,excellent
372,1,excellent
373,1,
374,1,good
375,1,good
376,2,excellent
377,3,excellent
378,3,excellent
379,1,excellent
380,1,excellent
381,3,excellent
382,3,excellent
383,3,excellent
384,3,excellent
385,3,excellent
386,3,excellent
387,1,good
388,1,excellent
389,1,excellent
390,1,good
391,3,excellent
392,1,excellent
393,1,
394,1,
395,2,excellent
396,1,excellent
397,1,excellent
398,1,excellent
