State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Number speaking second language (Persons),Number speaking second language (Males),Number speaking second language (Females),Number speaking third language (Persons) ,Number speaking third language (Males) ,Number speaking third language (Females)
00,00,INDIA,Total,Total,314988770,176696383,138292387,86009580,50536832,35472748
00,00,INDIA,Total,5-9,15649192,8166843,7482349,1844108,978151,865957
00,00,INDIA,Total,10-14,34488492,18133423,16355069,7254335,3831131,3423204
00,00,INDIA,Total,15-19,42424599,22750908,19673691,12626717,6792766,5833951
00,00,INDIA,Total,20-24,41344406,22386694,18957712,12834334,7067614,5766720
00,00,INDIA,Total,25-29,35924045,19695033,16229012,10857171,6144045,4713126
00,00,INDIA,Total,30-49,96443870,55866320,40577550,27466884,16824473,10642411
00,00,INDIA,Total,50-69,39729782,24306735,15423047,10916361,7385967,3530394
00,00,INDIA,Total,70+,7962347,4813671,3148676,1954539,1362695,591844
00,00,INDIA,Total,Age not stated,1022037,576756,445281,255131,149990,105141
00,00,INDIA,Rural,Total,162641485,92988052,69653433,35383989,21771062,13612927
00,00,INDIA,Rural,5-9,9292251,4815380,4476871,672498,356376,316122
00,00,INDIA,Rural,10-14,20960599,11005994,9954605,3638873,1929573,1709300
00,00,INDIA,Rural,15-19,24547666,13342296,11205370,6559688,3616092,2943596
00,00,INDIA,Rural,20-24,21905564,12180144,9725420,5966021,3449951,2516070
00,00,INDIA,Rural,25-29,18052954,10261185,7791769,4569413,2768678,1800735
00,00,INDIA,Rural,30-49,45973742,27687500,18286242,10139312,6778161,3361151
00,00,INDIA,Rural,50-69,17824491,11195472,6629019,3215504,2413157,802347
00,00,INDIA,Rural,70+,3635989,2240389,1395600,534536,404113,130423
00,00,INDIA,Rural,Age not stated,448229,259692,188537,88144,54961,33183
00,00,INDIA,Urban,Total,152347285,83708331,68638954,50625591,28765770,21859821
00,00,INDIA,Urban,5-9,6356941,3351463,3005478,1171610,621775,549835
00,00,INDIA,Urban,10-14,13527893,7127429,6400464,3615462,1901558,1713904
00,00,INDIA,Urban,15-19,17876933,9408612,8468321,6067029,3176674,2890355
00,00,INDIA,Urban,20-24,19438842,10206550,9232292,6868313,3617663,3250650
00,00,INDIA,Urban,25-29,17871091,9433848,8437243,6287758,3375367,2912391
00,00,INDIA,Urban,30-49,50470128,28178820,22291308,17327572,10046312,7281260
00,00,INDIA,Urban,50-69,21905291,13111263,8794028,7700857,4972810,2728047
00,00,INDIA,Urban,70+,4326358,2573282,1753076,1420003,958582,461421
00,00,INDIA,Urban,Age not stated,573808,317064,256744,166987,95029,71958
01,00,JAMMU & KASHMIR,Total,Total,6183190,3634819,2548371,2096220,1258756,837464
01,00,JAMMU & KASHMIR,Total,5-9,436543,234697,201846,73589,39782,33807
01,00,JAMMU & KASHMIR,Total,10-14,905370,487358,418012,222586,121618,100968
01,00,JAMMU & KASHMIR,Total,15-19,902124,488112,414012,339152,187145,152007
01,00,JAMMU & KASHMIR,Total,20-24,806741,449407,357334,343400,191644,151756
01,00,JAMMU & KASHMIR,Total,25-29,699600,412076,287524,271949,157424,114525
01,00,JAMMU & KASHMIR,Total,30-49,1716078,1079000,637078,607745,387660,220085
01,00,JAMMU & KASHMIR,Total,50-69,587421,398116,189305,202306,147122,55184
01,00,JAMMU & KASHMIR,Total,70+,124212,82839,41373,33910,25382,8528
01,00,JAMMU & KASHMIR,Total,Age not stated,5101,3214,1887,1583,979,604
01,00,JAMMU & KASHMIR,Rural,Total,4167238,2470363,1696875,1258724,778704,480020
01,00,JAMMU & KASHMIR,Rural,5-9,321318,172729,148589,52954,28627,24327
01,00,JAMMU & KASHMIR,Rural,10-14,685252,369310,315942,162463,89191,73272
01,00,JAMMU & KASHMIR,Rural,15-19,659476,359506,299970,230865,130000,100865
01,00,JAMMU & KASHMIR,Rural,20-24,553103,310502,242601,215100,124592,90508
01,00,JAMMU & KASHMIR,Rural,25-29,450347,266157,184190,156318,94469,61849
01,00,JAMMU & KASHMIR,Rural,30-49,1071778,691411,380367,329557,224256,105301
01,00,JAMMU & KASHMIR,Rural,50-69,346003,246213,99790,94087,74449,19638
01,00,JAMMU & KASHMIR,Rural,70+,76464,52373,24091,16289,12406,3883
01,00,JAMMU & KASHMIR,Rural,Age not stated,3497,2162,1335,1091,714,377
01,00,JAMMU & KASHMIR,Urban,Total,2015952,1164456,851496,837496,480052,357444
01,00,JAMMU & KASHMIR,Urban,5-9,115225,61968,53257,20635,11155,9480
01,00,JAMMU & KASHMIR,Urban,10-14,220118,118048,102070,60123,32427,27696
01,00,JAMMU & KASHMIR,Urban,15-19,242648,128606,114042,108287,57145,51142
01,00,JAMMU & KASHMIR,Urban,20-24,253638,138905,114733,128300,67052,61248
01,00,JAMMU & KASHMIR,Urban,25-29,249253,145919,103334,115631,62955,52676
01,00,JAMMU & KASHMIR,Urban,30-49,644300,387589,256711,278188,163404,114784
01,00,JAMMU & KASHMIR,Urban,50-69,241418,151903,89515,108219,72673,35546
01,00,JAMMU & KASHMIR,Urban,70+,47748,30466,17282,17621,12976,4645
01,00,JAMMU & KASHMIR,Urban,Age not stated,1604,1052,552,492,265,227
02,00,HIMACHAL PRADESH,Total,Total,1242705,683966,558739,347286,200478,146808
02,00,HIMACHAL PRADESH,Total,5-9,66049,35154,30895,6545,3640,2905
02,00,HIMACHAL PRADESH,Total,10-14,128097,68993,59104,29483,15935,13548
02,00,HIMACHAL PRADESH,Total,15-19,149568,79647,69921,51298,26777,24521
02,00,HIMACHAL PRADESH,Total,20-24,156207,81346,74861,52839,27019,25820
02,00,HIMACHAL PRADESH,Total,25-29,140198,72598,67600,45565,23722,21843
02,00,HIMACHAL PRADESH,Total,30-49,402317,221249,181068,112797,66731,46066
02,00,HIMACHAL PRADESH,Total,50-69,162339,100542,61797,40987,30350,10637
02,00,HIMACHAL PRADESH,Total,70+,36536,23637,12899,7396,6089,1307
02,00,HIMACHAL PRADESH,Total,Age not stated,1394,800,594,376,215,161
02,00,HIMACHAL PRADESH,Rural,Total,981518,538801,442717,280817,163039,117778
02,00,HIMACHAL PRADESH,Rural,5-9,54665,28986,25679,5197,2871,2326
02,00,HIMACHAL PRADESH,Rural,10-14,104609,55817,48792,24871,13369,11502
02,00,HIMACHAL PRADESH,Rural,15-19,120883,63911,56972,44018,22842,21176
02,00,HIMACHAL PRADESH,Rural,20-24,124900,64349,60551,44980,22873,22107
02,00,HIMACHAL PRADESH,Rural,25-29,110781,56663,54118,37965,19738,18227
02,00,HIMACHAL PRADESH,Rural,30-49,311727,171675,140052,89215,53849,35366
02,00,HIMACHAL PRADESH,Rural,50-69,124081,77926,46155,29264,23010,6254
02,00,HIMACHAL PRADESH,Rural,70+,28720,18814,9906,4985,4304,681
02,00,HIMACHAL PRADESH,Rural,Age not stated,1152,660,492,322,183,139
02,00,HIMACHAL PRADESH,Urban,Total,261187,145165,116022,66469,37439,29030
02,00,HIMACHAL PRADESH,Urban,5-9,11384,6168,5216,1348,769,579
02,00,HIMACHAL PRADESH,Urban,10-14,23488,13176,10312,4612,2566,2046
02,00,HIMACHAL PRADESH,Urban,15-19,28685,15736,12949,7280,3935,3345
02,00,HIMACHAL PRADESH,Urban,20-24,31307,16997,14310,7859,4146,3713
02,00,HIMACHAL PRADESH,Urban,25-29,29417,15935,13482,7600,3984,3616
02,00,HIMACHAL PRADESH,Urban,30-49,90590,49574,41016,23582,12882,10700
02,00,HIMACHAL PRADESH,Urban,50-69,38258,22616,15642,11723,7340,4383
02,00,HIMACHAL PRADESH,Urban,70+,7816,4823,2993,2411,1785,626
02,00,HIMACHAL PRADESH,Urban,Age not stated,242,140,102,54,32,22
03,00,PUNJAB,Total,Total,13035224,7284183,5751041,7829913,4383841,3446072
03,00,PUNJAB,Total,5-9,469117,258821,210296,182720,101811,80909
03,00,PUNJAB,Total,10-14,1422222,791025,631197,737273,408297,328976
03,00,PUNJAB,Total,15-19,1939641,1069343,870298,1289483,700576,588907
03,00,PUNJAB,Total,20-24,1866086,982349,883737,1267339,653430,613909
03,00,PUNJAB,Total,25-29,1552503,816854,735649,1002556,517566,484990
03,00,PUNJAB,Total,30-49,3929497,2186501,1742996,2322915,1306172,1016743
03,00,PUNJAB,Total,50-69,1566940,982119,584821,881384,586330,295054
03,00,PUNJAB,Total,70+,274136,188970,85166,137067,104602,32465
03,00,PUNJAB,Total,Age not stated,15082,8201,6881,9176,5057,4119
03,00,PUNJAB,Rural,Total,7083180,3998260,3084920,4230870,2404467,1826403
03,00,PUNJAB,Rural,5-9,218735,119765,98970,85168,47132,38036
03,00,PUNJAB,Rural,10-14,858482,474042,384440,441821,241904,199917
03,00,PUNJAB,Rural,15-19,1221923,670139,551784,814423,440271,374152
03,00,PUNJAB,Rural,20-24,1105218,574901,530317,752594,384833,367761
03,00,PUNJAB,Rural,25-29,856668,447252,409416,553822,286558,267264
03,00,PUNJAB,Rural,30-49,2019252,1152336,866916,1169080,688702,480378
03,00,PUNJAB,Rural,50-69,675066,463921,211145,351988,264840,87148
03,00,PUNJAB,Rural,70+,118180,90600,27580,55969,46863,9106
03,00,PUNJAB,Rural,Age not stated,9656,5304,4352,6005,3364,2641
03,00,PUNJAB,Urban,Total,5952044,3285923,2666121,3599043,1979374,1619669
03,00,PUNJAB,Urban,5-9,250382,139056,111326,97552,54679,42873
03,00,PUNJAB,Urban,10-14,563740,316983,246757,295452,166393,129059
03,00,PUNJAB,Urban,15-19,717718,399204,318514,475060,260305,214755
03,00,PUNJAB,Urban,20-24,760868,407448,353420,514745,268597,246148
03,00,PUNJAB,Urban,25-29,695835,369602,326233,448734,231008,217726
03,00,PUNJAB,Urban,30-49,1910245,1034165,876080,1153835,617470,536365
03,00,PUNJAB,Urban,50-69,891874,518198,373676,529396,321490,207906
03,00,PUNJAB,Urban,70+,155956,98370,57586,81098,57739,23359
03,00,PUNJAB,Urban,Age not stated,5426,2897,2529,3171,1693,1478
04,00,CHANDIGARH,Total,Total,579920,322898,257022,321979,178557,143422
04,00,CHANDIGARH,Total,5-9,25605,14090,11515,8546,4769,3777
04,00,CHANDIGARH,Total,10-14,51841,29263,22578,27428,15536,11892
04,00,CHANDIGARH,Total,15-19,68806,38530,30276,41223,22603,18620
04,00,CHANDIGARH,Total,20-24,79255,43623,35632,46022,24462,21560
04,00,CHANDIGARH,Total,25-29,67799,37172,30627,37130,19888,17242
04,00,CHANDIGARH,Total,30-49,183014,100968,82046,97908,53148,44760
04,00,CHANDIGARH,Total,50-69,85686,48973,36713,52830,31082,21748
04,00,CHANDIGARH,Total,70+,17785,10210,7575,10827,7034,3793
04,00,CHANDIGARH,Total,Age not stated,129,69,60,65,35,30
04,00,CHANDIGARH,Rural,Total,11723,7069,4654,4353,2647,1706
04,00,CHANDIGARH,Rural,5-9,601,305,296,117,63,54
04,00,CHANDIGARH,Rural,10-14,1138,646,492,426,238,188
04,00,CHANDIGARH,Rural,15-19,1422,866,556,690,391,299
04,00,CHANDIGARH,Rural,20-24,1682,1026,656,713,413,300
04,00,CHANDIGARH,Rural,25-29,1790,1040,750,661,388,273
04,00,CHANDIGARH,Rural,30-49,3923,2460,1463,1375,872,503
04,00,CHANDIGARH,Rural,50-69,1012,626,386,323,241,82
04,00,CHANDIGARH,Rural,70+,152,98,54,45,39,6
04,00,CHANDIGARH,Rural,Age not stated,3,2,1,3,2,1
04,00,CHANDIGARH,Urban,Total,568197,315829,252368,317626,175910,141716
04,00,CHANDIGARH,Urban,5-9,25004,13785,11219,8429,4706,3723
04,00,CHANDIGARH,Urban,10-14,50703,28617,22086,27002,15298,11704
04,00,CHANDIGARH,Urban,15-19,67384,37664,29720,40533,22212,18321
04,00,CHANDIGARH,Urban,20-24,77573,42597,34976,45309,24049,21260
04,00,CHANDIGARH,Urban,25-29,66009,36132,29877,36469,19500,16969
04,00,CHANDIGARH,Urban,30-49,179091,98508,80583,96533,52276,44257
04,00,CHANDIGARH,Urban,50-69,84674,48347,36327,52507,30841,21666
04,00,CHANDIGARH,Urban,70+,17633,10112,7521,10782,6995,3787
04,00,CHANDIGARH,Urban,Age not stated,126,67,59,62,33,29
05,00,UTTARAKHAND,Total,Total,1757756,982762,774994,187822,109529,78293
05,00,UTTARAKHAND,Total,5-9,102038,53954,48084,4215,2203,2012
05,00,UTTARAKHAND,Total,10-14,197841,105926,91915,15904,8455,7449
05,00,UTTARAKHAND,Total,15-19,257667,138282,119385,29527,15281,14246
