Table name,State Code,District Code,Sub-District Code,Area name,Mother tongue code,Mother tongue name,Total Persons,Total Males,Total Females,Rural Persons,Rural Males,Rural Females,Urban Persons,Urban Males,Urban Females
C0116,00,000,00000,INDIA,001000,1 ASSAMESE,15311351,7810583,7500768,13144701,6697715,6446986,2166650,1112868,1053782
C0116,00,000,00000,INDIA,001002, Assamese,14816414,7555350,7261064,12680101,6458345,6221756,2136313,1097005,1039308
C0116,00,000,00000,INDIA,001999,1 Others,494937,255233,239704,464600,239370,225230,30337,15863,14474
C0116,00,000,00000,INDIA,002000,2 BENGALI ,97237669,49798752,47438917,69914845,35866210,34048635,27322824,13932542,13390282
C0116,00,000,00000,INDIA,002007, Bengali,96177835,49254753,46923082,68921285,35356084,33565201,27256550,13898669,13357881
C0116,00,000,00000,INDIA,002011, Chakma,228281,116928,111353,220162,112745,107417,8119,4183,3936
C0116,00,000,00000,INDIA,002015, Haijong/Hajong,71792,36364,35428,65601,33243,32358,6191,3121,3070
C0116,00,000,00000,INDIA,002044, Rajbangsi,475861,244079,231782,437408,224461,212947,38453,19618,18835
C0116,00,000,00000,INDIA,002999,2 Others,283900,146628,137272,270389,139677,130712,13511,6951,6560
C0116,00,000,00000,INDIA,003000,3 BODO ,1482929,745017,737912,1419762,712684,707078,63167,32333,30834
C0116,00,000,00000,INDIA,003001, Bodo/Boro,1454547,730541,724006,1396225,700733,695492,58322,29808,28514
C0116,00,000,00000,INDIA,003003, Kachari,15984,8204,7780,12784,6527,6257,3200,1677,1523
C0116,00,000,00000,INDIA,003004, Mech/Mechhia,11546,5849,5697,10064,5078,4986,1482,771,711
C0116,00,000,00000,INDIA,003999,3 Others,852,423,429,689,346,343,163,77,86
C0116,00,000,00000,INDIA,004000,4 DOGRI ,2596767,1369581,1227186,1903658,996807,906851,693109,372774,320335
C0116,00,000,00000,INDIA,004001, Dogri,2596763,1369578,1227185,1903657,996806,906851,693106,372772,320334
C0116,00,000,00000,INDIA,004999,4 Others,4,3,1,1,1,0,3,2,1
C0116,00,000,00000,INDIA,005000,5 GUJARATI,55492554,28562042,26930512,32881496,16835772,16045724,22611058,11726270,10884788
C0116,00,000,00000,INDIA,005018, Gujarati,55036204,28331451,26704753,32767517,16777859,15989658,22268687,11553592,10715095
C0116,00,000,00000,INDIA,005019, Gujrao/Gujrau,15431,7915,7516,14626,7518,7108,805,397,408
C0116,00,000,00000,INDIA,005052, Pattani,16510,8296,8214,15904,7976,7928,606,320,286
C0116,00,000,00000,INDIA,005054, Ponchi,13812,7221,6591,7516,3899,3617,6296,3322,2974
C0116,00,000,00000,INDIA,005057, Saurashtra/Saurashtri,247702,124776,122926,15888,8137,7751,231814,116639,115175
C0116,00,000,00000,INDIA,005999,5 Others,162895,82383,80512,60045,30383,29662,102850,52000,50850
C0116,00,000,00000,INDIA,006000,6 HINDI ,528347193,276610187,251737006,386872201,201018956,185853245,141474992,75591231,65883761
C0116,00,000,00000,INDIA,006030, Awadhi,3850906,1956073,1894833,3731591,1892248,1839343,119315,63825,55490
C0116,00,000,00000,INDIA,006040, Baghati/Baghati Pahari,15835,8141,7694,15128,7771,7357,707,370,337
C0116,00,000,00000,INDIA,006042, Bagheli/Baghel Khandi,2679129,1379891,1299238,2354669,1210613,1144056,324460,169278,155182
C0116,00,000,00000,INDIA,006045, Bagri Rajasthani,234227,123493,110734,206796,109071,97725,27431,14422,13009
C0116,00,000,00000,INDIA,006066, Banjari,1581271,823468,757803,1453870,756514,697356,127401,66954,60447
C0116,00,000,00000,INDIA,006086, Bhadrawahi,98806,50478,48328,90354,46083,44271,8452,4395,4057
C0116,00,000,00000,INDIA,006089, Bhagoria,20924,10299,10625,20841,10259,10582,83,40,43
C0116,00,000,00000,INDIA,006096, Bharmauri/Gaddi,181069,90634,90435,175505,87745,87760,5564,2889,2675
C0116,00,000,00000,INDIA,006102, Bhojpuri,50579447,26069236,24510211,45323817,23181849,22141968,5255630,2887387,2368243
C0116,00,000,00000,INDIA,006119, Bishnoi,12079,4978,7101,10521,4286,6235,1558,692,866
C0116,00,000,00000,INDIA,006123, Brajbhasha,1556314,840267,716047,1248175,674909,573266,308139,165358,142781
C0116,00,000,00000,INDIA,006125, Bundeli/Bundel khandi,5626356,2974600,2651756,4600216,2433554,2166662,1026140,541046,485094
C0116,00,000,00000,INDIA,006133, Chambeali/Chamrali,125746,62452,63294,107910,53287,54623,17836,9165,8671
C0116,00,000,00000,INDIA,006142, Chhattisgarhi,16245190,8119432,8125758,13461070,6713943,6747127,2784120,1405489,1378631
C0116,00,000,00000,INDIA,006149, Churahi,75552,38201,37351,75422,38136,37286,130,65,65
C0116,00,000,00000,INDIA,006173, Dhundhari,1476446,763128,713318,1196293,617793,578500,280153,145335,134818
C0116,00,000,00000,INDIA,006195, Garhwali,2482089,1198416,1283673,2004266,946910,1057356,477823,251506,226317
C0116,00,000,00000,INDIA,006198, Gawari,19062,9963,9099,17400,9090,8310,1662,873,789
C0116,00,000,00000,INDIA,006207, Gojri/Gujjari/Gujar,1227901,640395,587506,1173849,611452,562397,54052,28943,25109
C0116,00,000,00000,INDIA,006231, Handuri,47803,24658,23145,42436,21882,20554,5367,2776,2591
C0116,00,000,00000,INDIA,006232, Hara/Harauti,2944356,1528163,1416193,2290012,1186853,1103159,654344,341310,313034
C0116,00,000,00000,INDIA,006235, Haryanvi,9806519,5216490,4590029,8147073,4336083,3810990,1659446,880407,779039
C0116,00,000,00000,INDIA,006240, Hindi,322230097,170506524,151723573,208823135,109700046,99123089,113406962,60806478,52600484
C0116,00,000,00000,INDIA,006265, Jaunpuri/Jaunsari,136779,71293,65486,130195,67664,62531,6584,3629,2955
C0116,00,000,00000,INDIA,006291, Kangri,1117342,547695,569647,1069044,522688,546356,48298,25007,23291
C0116,00,000,00000,INDIA,006311, Khari Boli,50195,26156,24039,40310,20709,19601,9885,5447,4438
C0116,00,000,00000,INDIA,006320, Khortha/Khotta,8038735,4138148,3900587,7094593,3644396,3450197,944142,493752,450390
C0116,00,000,00000,INDIA,006336, Kulvi,196295,99449,96846,185690,94120,91570,10605,5329,5276
C0116,00,000,00000,INDIA,006340, Kumauni,2081057,1012120,1068937,1774955,852859,922096,306102,159261,146841
C0116,00,000,00000,INDIA,006345, Kurmali Thar,311175,157107,154068,308621,155776,152845,2554,1331,1223
C0116,00,000,00000,INDIA,006353, Lamani/Lambadi,3276548,1677395,1599153,2930089,1498172,1431917,346459,179223,167236
C0116,00,000,00000,INDIA,006355, Laria,89876,44092,45784,86904,42635,44269,2972,1457,1515
C0116,00,000,00000,INDIA,006358, Lodhi,139180,69225,69955,132833,66053,66780,6347,3172,3175
C0116,00,000,00000,INDIA,006376, Magadhi/Magahi,12706825,6590948,6115877,10972770,5676599,5296171,1734055,914349,819706
C0116,00,000,00000,INDIA,006391, Malvi,5212617,2651647,2560970,4684735,2381397,2303338,527882,270250,257632
C0116,00,000,00000,INDIA,006394, Mandeali,622590,307327,315263,569835,280286,289549,52755,27041,25714
C0116,00,000,00000,INDIA,006400, Marwari,7831749,4065111,3766638,5436951,2805244,2631707,2394798,1259867,1134931
C0116,00,000,00000,INDIA,006408, Mewari,4212262,2125491,2086771,3681530,1852743,1828787,530732,272748,257984
C0116,00,000,00000,INDIA,006409, Mewati,856643,446446,410197,806240,419941,386299,50403,26505,23898
C0116,00,000,00000,INDIA,006420, Nagpuria,763014,384858,378156,680822,342979,337843,82192,41879,40313
C0116,00,000,00000,INDIA,006432, Nimadi,2309265,1178004,1131261,2074582,1057548,1017034,234683,120456,114227
C0116,00,000,00000,INDIA,006438, Padari,17279,9076,8203,17246,9063,8183,33,13,20
C0116,00,000,00000,INDIA,006439, Pahari,3253889,1651189,1602700,3001723,1516737,1484986,252166,134452,117714
C0116,00,000,00000,INDIA,006449, Palmuha,23579,11881,11698,23278,11711,11567,301,170,131
C0116,00,000,00000,INDIA,006451, Panch Pargania,244914,125800,119114,226645,116219,110426,18269,9581,8688
C0116,00,000,00000,INDIA,006452, Pando/Pandwani,15595,7971,7624,15146,7732,7414,449,239,210
C0116,00,000,00000,INDIA,006454, Pangwali,18668,9346,9322,18156,9077,9079,512,269,243
C0116,00,000,00000,INDIA,006466, Pawari/Powari,325772,162606,163166,313871,156525,157346,11901,6081,5820
C0116,00,000,00000,INDIA,006476, Puran/Puran Bhasha,12375,6220,6155,12210,6135,6075,165,85,80
C0116,00,000,00000,INDIA,006489, Rajasthani,25806344,13314254,12492090,20164599,10382104,9782495,5641745,2932150,2709595
C0116,00,000,00000,INDIA,006503, Sadan/Sadri,4345677,2180340,2165337,4045994,2030137,2015857,299683,150203,149480
C0116,00,000,00000,INDIA,006530, Sirmauri,107401,55113,52288,105752,54136,51616,1649,977,672
C0116,00,000,00000,INDIA,006535, Sondwari,229788,118221,111567,229032,117837,111195,756,384,372
C0116,00,000,00000,INDIA,006541, Sugali,170987,87078,83909,154358,78769,75589,16629,8309,8320
C0116,00,000,00000,INDIA,006547, Surgujia,1738256,873569,864687,1641682,824833,816849,96574,48736,47838
C0116,00,000,00000,INDIA,006548, Surjapuri,2256228,1165836,1090392,2214811,1143889,1070922,41417,21947,19470
C0116,00,000,00000,INDIA,006999,6 Others,16711170,8799795,7911375,15456650,8121866,7334784,1254520,677929,576591
C0116,00,000,00000,INDIA,007000,7 KANNADA,43706512,22111292,21595220,30738803,15522360,15216443,12967709,6588932,6378777
C0116,00,000,00000,INDIA,007002, Badaga,133550,63780,69770,81090,38645,42445,52460,25135,27325
C0116,00,000,00000,INDIA,007016, Kannada,43506272,22014001,21492271,30614889,15462374,15152515,12891383,6551627,6339756
C0116,00,000,00000,INDIA,007027, Kuruba/Kurumba,24189,11881,12308,21295,10462,10833,2894,1419,1475
C0116,00,000,00000,INDIA,007041, Prakritha/Prakritha Bhasha,12257,6372,5885,2868,1544,1324,9389,4828,4561
C0116,00,000,00000,INDIA,007999,7 Others,30244,15258,14986,18661,9335,9326,11583,5923,5660
C0116,00,000,00000,INDIA,008000,8 KASHMIRI ,6797587,3505539,3292048,4605122,2374391,2230731,2192465,1131148,1061317
C0116,00,000,00000,INDIA,008005, Kashmiri,6554369,3380350,3174019,4372791,2255089,2117702,2181578,1125261,1056317
C0116,00,000,00000,INDIA,008010, Kishtwari,39748,20415,19333,36596,18725,17871,3152,1690,1462
C0116,00,000,00000,INDIA,008018, Siraji,124896,63823,61073,119507,60918,58589,5389,2905,2484
C0116,00,000,00000,INDIA,008019, Dardi,25600,13544,12056,24219,12761,11458,1381,783,598
C0116,00,000,00000,INDIA,008999,8 Others,52974,27407,25567,52009,26898,25111,965,509,456
C0116,00,000,00000,INDIA,009000,9 KONKANI,2256502,1104587,1151915,970231,479789,490442,1286271,624798,661473
C0116,00,000,00000,INDIA,009011, Konkani,2146906,1048165,1098741,876124,431164,444960,1270782,617001,653781
C0116,00,000,00000,INDIA,009013, Kudubi/Kudumbi,17209,8648,8561,15910,7989,7921,1299,659,640
C0116,00,000,00000,INDIA,009016, Malwani,23617,11664,11953,19695,9684,10011,3922,1980,1942
C0116,00,000,00000,INDIA,009020, Nawait,13123,6290,6833,7128,3383,3745,5995,2907,3088
C0116,00,000,00000,INDIA,009028, Gorboli/Goru/Gorwani,50259,27016,23243,48927,26304,22623,1332,712,620
C0116,00,000,00000,INDIA,009999,9 Others,5388,2804,2584,2447,1265,1182,2941,1539,1402
C0116,00,000,00000,INDIA,010000,10 MAITHILI ,13583464,7112056,6471408,12513745,6526935,5986810,1069719,585121,484598
C0116,00,000,00000,INDIA,010008, Maithili,13353347,6992706,6360641,12311098,6422768,5888330,1042249,569938,472311
C0116,00,000,00000,INDIA,010011, Purbi Maithili,11116,5728,5388,7994,4038,3956,3122,1690,1432
C0116,00,000,00000,INDIA,010013, Thati,165420,86606,78814,143006,74252,68754,22414,12354,10060
C0116,00,000,00000,INDIA,010014, Tharu,53575,27012,26563,51645,25875,25770,1930,1137,793
C0116,00,000,00000,INDIA,010999,10 Others,6,4,2,2,2,0,4,2,2
C0116,00,000,00000,INDIA,011000,11 MALAYALAM,34838819,16712384,18126435,17411083,8366407,9044676,17427736,8345977,9081759
C0116,00,000,00000,INDIA,011016, Malayalam,34776533,16681977,18094556,17355542,8339365,9016177,17420991,8342612,9078379
C0116,00,000,00000,INDIA,011023, Pania,22808,11015,11793,19391,9340,10051,3417,1675,1742
C0116,00,000,00000,INDIA,011026, Yerava,26563,13019,13544,25905,12694,13211,658,325,333
C0116,00,000,00000,INDIA,011999,11 Others,12915,6373,6542,10245,5008,5237,2670,1365,1305
C0116,00,000,00000,INDIA,012000,12 MANIPURI ,1761079,875943,885136,1001566,500425,501141,759513,375518,383995
C0116,00,000,00000,INDIA,012003, Manipuri,1760913,875852,885061,1001516,500400,501116,759397,375452,383945
C0116,00,000,00000,INDIA,012999,12 Others,166,91,75,50,25,25,116,66,50
C0116,00,000,00000,INDIA,013000,13 MARATHI ,83026680,42565803,40460877,52697457,26959302,25738155,30329223,15606501,14722722
C0116,00,000,00000,INDIA,013004, Are,53879,26763,27116,49358,24653,24705,4521,2110,2411
C0116,00,000,00000,INDIA,013060, Koli,13809,6990,6819,6070,3047,3023,7739,3943,3796
C0116,00,000,00000,INDIA,013071, Marathi,82801140,42453408,40347732,52517198,26869679,25647519,30283942,15583729,14700213
C0116,00,000,00000,INDIA,013999,13 Others,157852,78642,79210,124831,61923,62908,33021,16719,16302
C0116,00,000,00000,INDIA,014000,14 NEPALI ,2926168,1524029,1402139,2009479,1037852,971627,916689,486177,430512
C0116,00,000,00000,INDIA,014011, Nepali,2925796,1523833,1401963,2009222,1037721,971501,916574,486112,430462
C0116,00,000,00000,INDIA,014999,14 Others,372,196,176,257,131,126,115,65,50
C0116,00,000,00000,INDIA,015000,15 ODIA ,37521324,19103304,18418020,31015786,15656377,15359409,6505538,3446927,3058611
C0116,00,000,00000,INDIA,015006, Bhatri,334258,164972,169286,320636,158259,162377,13622,6713,6909
C0116,00,000,00000,INDIA,015007, Bhuiya/Bhuyan[Ori],32126,15767,16359,31288,15325,15963,838,442,396
C0116,00,000,00000,INDIA,015010, Bhumijali,34651,17278,17373,33136,16482,16654,1515,796,719
C0116,00,000,00000,INDIA,015014, Desia,227313,110563,116750,221115,107740,113375,6198,2823,3375
C0116,00,000,00000,INDIA,015043, Odia,34059266,17368096,16691170,27853540,14072275,13781265,6205726,3295821,2909905
C0116,00,000,00000,INDIA,015051, Proja (Ori),156354,75412,80942,149229,71996,77233,7125,3416,3709
C0116,00,000,00000,INDIA,015055, Relli,12969,6373,6596,5086,2533,2553,7883,3840,4043
C0116,00,000,00000,INDIA,015058, Sambalpuri,2630381,1327739,1302642,2374002,1197847,1176155,256379,129892,126487
C0116,00,000,00000,INDIA,015999,15 Others,34006,17104,16902,27754,13920,13834,6252,3184,3068
C0116,00,000,00000,INDIA,016000,16 PUNJABI ,33124726,17340931,15783795,21328323,11155553,10172770,11796403,6185378,5611025
C0116,00,000,00000,INDIA,016002, Bagri,1656588,859167,797421,1496985,775430,721555,159603,83737,75866
C0116,00,000,00000,INDIA,016005, Bhateali,23970,12222,11748,23723,12107,11616,247,115,132
C0116,00,000,00000,INDIA,016006, Bilaspuri Kahluri,295805,151739,144066,278437,142523,135914,17368,9216,8152
C0116,00,000,00000,INDIA,016038, Punjabi,31144095,16315572,14828523,19526343,10224009,9302334,11617752,6091563,5526189
C0116,00,000,00000,INDIA,016999,16 Others,4268,2231,2037,2835,1484,1351,1433,747,686
C0116,00,000,00000,INDIA,017000,17 SANSKRIT ,24821,13636,11185,10908,5862,5046,13913,7774,6139
C0116,00,000,00000,INDIA,017002, Sanskrit,24709,13582,11127,10873,5844,5029,13836,7738,6098
C0116,00,000,00000,INDIA,017999,17 Others,112,54,58,35,18,17,77,36,41
C0116,00,000,00000,INDIA,018000,18 SANTALI ,7368192,3678969,3689223,6980935,3483358,3497577,387257,195611,191646
C0116,00,000,00000,INDIA,018010, Karmali,358579,183154,175425,339055,172850,166205,19524,10304,9220
C0116,00,000,00000,INDIA,018011, Mahili,26399,13177,13222,24569,12239,12330,1830,938,892
C0116,00,000,00000,INDIA,018040, Santali,6973345,3477630,3495715,6607947,3293524,3314423,365398,184106,181292
C0116,00,000,00000,INDIA,018999,18 Others,9869,5008,4861,9364,4745,4619,505,263,242
C0116,00,000,00000,INDIA,019000,19 SINDHI,2772264,1412101,1360163,795136,408195,386941,1977128,1003906,973222
C0116,00,000,00000,INDIA,019002, Bhatia,22409,11425,10984,21789,11120,10669,620,305,315
C0116,00,000,00000,INDIA,019008, Kachchhi,1030602,522998,507604,579667,296324,283343,450935,226674,224261
C0116,00,000,00000,INDIA,019014, Sindhi,1679246,856719,822527,155615,80813,74802,1523631,775906,747725
C0116,00,000,00000,INDIA,019999,19 Others,40007,20959,19048,38065,19938,18127,1942,1021,921
C0116,00,000,00000,INDIA,020000,20 TAMIL ,69026881,34600690,34426191,35627590,17878530,17749060,33399291,16722160,16677131
C0116,00,000,00000,INDIA,020006, Irula/Irular Mozhi,11870,5850,6020,11297,5564,5733,573,286,287
C0116,00,000,00000,INDIA,020009, Kaikadi,25870,12931,12939,9948,5021,4927,15922,7910,8012
C0116,00,000,00000,INDIA,020015, Korava,10421,5220,5201,5492,2743,2749,4929,2477,2452
C0116,00,000,00000,INDIA,020027, Tamil,68888839,34531580,34357259,35530671,17829882,17700789,33358168,16701698,16656470
C0116,00,000,00000,INDIA,020029, Yerukala/Yerukula,58065,29031,29034,39475,19803,19672,18590,9228,9362
C0116,00,000,00000,INDIA,020999,20 Others,31816,16078,15738,30707,15517,15190,1109,561,548
C0116,00,000,00000,INDIA,021000,21 TELUGU ,81127740,40658539,40469201,53845101,26972479,26872622,27282639,13686060,13596579
C0116,00,000,00000,INDIA,021046, Telugu,80912459,40549767,40362692,53738513,26918237,26820276,27173946,13631530,13542416
C0116,00,000,00000,INDIA,021048, Vadari,198020,99923,98097,96722,49253,47469,101298,50670,50628
C0116,00,000,00000,INDIA,021999,21 Others,17261,8849,8412,9866,4989,4877,7395,3860,3535
C0116,00,000,00000,INDIA,022000,22 URDU,50772631,26180481,24592150,21127388,10843253,10284135,29645243,15337228,14308015
C0116,00,000,00000,INDIA,022015, Urdu,50725762,26156072,24569690,21091404,10824831,10266573,29634358,15331241,14303117
C0116,00,000,00000,INDIA,022016, Bhansari,22806,11719,11087,21174,10860,10314,1632,859,773
C0116,00,000,00000,INDIA,022999,22 Others,24063,12690,11373,14810,7562,7248,9253,5128,4125
C0116,00,000,00000,INDIA,023000,23 ADI ,248834,123150,125684,199942,100046,99896,48892,23104,25788
C0116,00,000,00000,INDIA,023003, Adi,110307,54699,55608,92314,46179,46135,17993,8520,9473
C0116,00,000,00000,INDIA,023006, Adi Gallong/Gallong,29246,14412,14834,24158,11940,12218,5088,2472,2616
C0116,00,000,00000,INDIA,023010, Adi Miniyong/Miniyong,13344,6651,6693,10268,5252,5016,3076,1399,1677
C0116,00,000,00000,INDIA,023040, Talgalo,69256,34158,35098,50273,25277,24996,18983,8881,10102
C0116,00,000,00000,INDIA,023999,23 Others,26681,13230,13451,22929,11398,11531,3752,1832,1920
C0116,00,000,00000,INDIA,024000,24 AFGHANI/KABULI/PASHTO ,21677,11557,10120,13431,7091,6340,8246,4466,3780
C0116,00,000,00000,INDIA,024001, Afghani/Kabuli/Pashto,21433,11406,10027,13254,6999,6255,8179,4407,3772
C0116,00,000,00000,INDIA,024999,24 Others,244,151,93,177,92,85,67,59,8
C0116,00,000,00000,INDIA,025000,25 ANAL ,27217,13206,14011,26158,12680,13478,1059,526,533
C0116,00,000,00000,INDIA,025001, Anal,24301,11859,12442,23370,11377,11993,931,482,449
C0116,00,000,00000,INDIA,025999,25 Others,2916,1347,1569,2788,1303,1485,128,44,84
C0116,00,000,00000,INDIA,026000,26 ANGAMI ,152796,74847,77949,98535,48865,49670,54261,25982,28279
C0116,00,000,00000,INDIA,026002, Angami,40721,19943,20778,25814,12757,13057,14907,7186,7721
C0116,00,000,00000,INDIA,026999,26 Others,112075,54904,57171,72721,36108,36613,39354,18796,20558
