,,,,,Stock Code,,,,,,,,,
CustID,StockCode,,,CustID,Qty,Price,Count,Recency,Y,,,StockCode,21232,
13085,85048,,,13085,sum,sum,"COUNTIFS(Qty,CustID,StockCode)","(14-Apr-2011 - MAXIFS(Invoice_date,CustID,StockCode))/365","IF(COUNT > 2,1,0)",,,Purchase_Date,,
13078,79323P,,,13078,,,,,,,,04-Dec-09,,15362
15362,79323W,,,15362,,,,,,,,04-Jun-10,,15362
18102,22041,,,18102,,,,,,,,04-Sep-10,,15362
12682,21232,,,12682,,,,,,,,06-Sep-10,,15362
18087,22064,,,18087,,,,,,,,,,
13635,21871,,,13635,,,,,,,,Train,4147,
14110,21523,,,14110,,,,,,,,Test,1777,
12636,22350,,,12636,,,,,,,,,,
17519,22349,,,17519,,,,,,,,Count,Use COUNTIFS(),
13758,22195,,,13758,,,,,,,,Recency,,
12362,22353,,,12362,,,,,,,,,,
15413,48173C,,,15413,,,,,,,,,,
16321,21755,,,16321,,,,,,,,,,
17592,21754,,,17592,,,,,,,,,,
16167,84879,,,16167,,,,,,,,,,
17865,22119,,,17865,,,,,,,,,,
13767,22142,,,13767,,,,,,,,,,
13293,22296,,,13293,,,,,,,,,,
17238,22295,,,17238,,,,,,,,,,
16011,22109,,,16011,,,,,,,,,,
13916,22107,,,13916,,,,,,,,,,
15712,22194,,,15712,,,,,,,,,,
15311,35004B,,,15311,,,,,,,,,,
16329,82582,,,16329,,,,,,,,,,
15461,21181,,,15461,,,,,,,,,,
17700,21756,,,17700,,,,,,,,,,
14911,21333,,,14911,,,,,,,,,,
15998,84596F,,,15998,,,,,,,,,,
12931,84596L,,,12931,,,,,,,,,,
15614,22111,,,15614,,,,,,,,,,
12533,22143,,,12533,,,,,,,,,,
16128,22145,,,16128,,,,,,,,,,
16714,22130,,,16714,,,,,,,,,,
17984,21364,,,17984,,,,,,,,,,
14748,21360,,,14748,,,,,,,,,,
14871,21351,,,14871,,,,,,,,,,
13394,21352,,,13394,,,,,,,,,,
12615,35400,,,12615,,,,,,,,,,
15299,20695,,,15299,,,,,,,,,,
16393,37370,,,16393,,,,,,,,,,
14040,10002,,,14040,,,,,,,,,,
15796,84507B,,,15796,,,,,,,,,,
12913,20703,,,12913,,,,,,,,,,
15091,21987,,,15091,,,,,,,,,,
15061,21989,,,15061,,,,,,,,,,
14292,84970S,,,14292,,,,,,,,,,
14341,20971,,,14341,,,,,,,,,,
17804,22271,,,17804,,,,,,,,,,
14156,22272,,,14156,,,,,,,,,,
13599,22274,,,13599,,,,,,,,,,
13768,21912,,,13768,,,,,,,,,,
17641,22112,,,17641,,,,,,,,,,
17063,21329,,,17063,,,,,,,,,,
13545,21252,,,13545,,,,,,,,,,
16955,21100,,,16955,,,,,,,,,,
15719,21033,,,15719,,,,,,,,,,
12490,20711,,,12490,,,,,,,,,,
15793,21410,,,15793,,,,,,,,,,
17056,21411,,,17056,,,,,,,,,,
13526,84031A,,,13526,,,,,,,,,,
14654,84031B,,,14654,,,,,,,,,,
17998,84032A,,,17998,,,,,,,,,,
17742,84032B,,,17742,,,,,,,,,,
15326,84519A,,,15326,,,,,,,,,,
14478,84519B,,,14478,,,,,,,,,,
15005,85132A,,,15005,,,,,,,,,,
15967,85132C,,,15967,,,,,,,,,,
17611,85183A,,,17611,,,,,,,,,,
15051,85183B,,,15051,,,,,,,,,,
13097,22065,,,13097,,,,,,,,,,
13590,22138,,,13590,,,,,,,,,,
14030,22139,,,14030,,,,,,,,,,
15984,22352,,,15984,,,,,,,,,,
17091,85014A,,,17091,,,,,,,,,,
16887,85014B,,,16887,,,,,,,,,,
12921,16161P,,,12921,,,,,,,,,,
14621,16169N,,,14621,,,,,,,,,,
14543,21491,,,14543,,,,,,,,,,
15945,22333,,,15945,,,,,,,,,,
18037,85216,,,18037,,,,,,,,,,
15662,21493,,,15662,,,,,,,,,,
15380,21731,,,15380,,,,,,,,,,
16422,85232B,,,16422,,,,,,,,,,
13711,84691,,,13711,,,,,,,,,,
16150,20749,,,16150,,,,,,,,,,
13110,POST,,,13110,,,,,,,,,,
12836,22321,,,12836,,,,,,,,,,
18287,84029E,,,18287,,,,,,,,,,
15254,21955,,,15254,,,,,,,,,,
16620,84899E,,,16620,,,,,,,,,,
12758,85123A,,,12758,,,,,,,,,,
14558,21582,,,14558,,,,,,,,,,
17961,21586,,,17961,,,,,,,,,,
17485,21590,,,17485,,,,,,,,,,
15601,22091,,,15601,,,,,,,,,,
13585,84251J,,,13585,,,,,,,,,,
13442,22024,,,13442,,,,,,,,,,
13381,22026,,,13381,,,,,,,,,,
16763,22029,,,16763,,,,,,,,,,
17345,22025,,,17345,,,,,,,,,,
17243,22031,,,17243,,,,,,,,,,
14865,21428,,,14865,,,,,,,,,,
13819,21430,,,13819,,,,,,,,,,
15750,21916,,,15750,,,,,,,,,,
15808,21790,,,15808,,,,,,,,,,
17191,21888,,,17191,,,,,,,,,,
13748,85178,,,13748,,,,,,,,,,
15265,20754,,,15265,,,,,,,,,,
17428,21035,,,17428,,,,,,,,,,
15485,82001S,,,15485,,,,,,,,,,
17246,82580,,,17246,,,,,,,,,,
14061,85150,,,14061,,,,,,,,,,
14108,21041,,,14108,,,,,,,,,,
13648,35916C,,,13648,,,,,,,,,,
16563,35916B,,,16563,,,,,,,,,,
16701,22180,,,16701,,,,,,,,,,
12842,22128,,,12842,,,,,,,,,,
14302,22163,,,14302,,,,,,,,,,
14135,35951,,,14135,,,,,,,,,,
14831,22253,,,14831,,,,,,,,,,
15602,84988,,,15602,,,,,,,,,,
13777,22219,,,13777,,,,,,,,,,
14000,18097C,,,14000,,,,,,,,,,
16823,21299,,,16823,,,,,,,,,,
16163,21099,,,16163,,,,,,,,,,
17193,21085,,,17193,,,,,,,,,,
15759,21929,,,15759,,,,,,,,,,
16131,22241,,,16131,,,,,,,,,,
14560,21091,,,14560,,,,,,,,,,
12523,21733,,,12523,,,,,,,,,,
17019,22178,,,17019,,,,,,,,,,
17087,22125,,,17087,,,,,,,,,,
14894,21671,,,14894,,,,,,,,,,
15353,22086,,,15353,,,,,,,,,,
16202,22294,,,16202,,,,,,,,,,
16700,22199,,,16700,,,,,,,,,,
17511,22083,,,17511,,,,,,,,,,
12755,22114,,,12755,,,,,,,,,,
14299,21485,,,14299,,,,,,,,,,
17949,21928,,,17949,,,,,,,,,,
14799,85099B,,,14799,,,,,,,,,,
16550,22356,,,16550,,,,,,,,,,
12980,20724,,,12980,,,,,,,,,,
14425,21592,,,14425,,,,,,,,,,
17818,20725,,,17818,,,,,,,,,,
13623,20728,,,13623,,,,,,,,,,
13654,20726,,,13654,,,,,,,,,,
17189,21217,,,17189,,,,,,,,,,
13269,85066,,,13269,,,,,,,,,,
14653,20827,,,14653,,,,,,,,,,
15542,20825,,,15542,,,,,,,,,,
13564,20823,,,13564,,,,,,,,,,
16467,20826,,,16467,,,,,,,,,,
15833,22087,,,15833,,,,,,,,,,
14527,85206A,,,14527,,,,,,,,,,
17476,21895,,,17476,,,,,,,,,,
15287,21896,,,15287,,,,,,,,,,
14440,84946,,,14440,,,,,,,,,,
15680,22090,,,15680,,,,,,,,,,
15581,90200A,,,15581,,,,,,,,,,
13740,90200D,,,13740,,,,,,,,,,
13070,90200B,,,13070,,,,,,,,,,
17768,90200E,,,17768,,,,,,,,,,
12948,90200C,,,12948,,,,,,,,,,
16797,90185C,,,16797,,,,,,,,,,
14667,90185B,,,14667,,,,,,,,,,
17377,90003C,,,17377,,,,,,,,,,
14467,90003D,,,14467,,,,,,,,,,
13457,90003B,,,13457,,,,,,,,,,
18108,90209C,,,18108,,,,,,,,,,
16210,90209A,,,16210,,,,,,,,,,
17867,90082D,,,17867,,,,,,,,,,
14669,21977,,,14669,,,,,,,,,,
17909,84991,,,17909,,,,,,,,,,
16086,22273,,,16086,,,,,,,,,,
16711,22179,,,16711,,,,,,,,,,
14739,22320,,,14739,,,,,,,,,,
16233,22232,,,16233,,,,,,,,,,
14204,84598,,,14204,,,,,,,,,,
17606,79323S,,,17606,,,,,,,,,,
16126,84568,,,16126,,,,,,,,,,
17412,21668,,,17412,,,,,,,,,,
16525,21669,,,16525,,,,,,,,,,
13313,21670,,,13313,,,,,,,,,,
12435,21672,,,12435,,,,,,,,,,
14549,21673,,,14549,,,,,,,,,,
14106,85071A,,,14106,,,,,,,,,,
14980,85071B,,,14980,,,,,,,,,,
14396,21161,,,14396,,,,,,,,,,
14122,21162,,,14122,,,,,,,,,,
16987,21248,,,16987,,,,,,,,,,
12471,21159,,,12471,,,,,,,,,,
17809,82494L,,,17809,,,,,,,,,,
15917,82486,,,15917,,,,,,,,,,
14987,82483,,,14987,,,,,,,,,,
14080,21212,,,14080,,,,,,,,,,
16200,72756,,,16200,,,,,,,,,,
15794,22063,,,15794,,,,,,,,,,
15523,37450,,,15523,,,,,,,,,,
15615,21707,,,15615,,,,,,,,,,
18001,21710,,,18001,,,,,,,,,,
17841,21708,,,17841,,,,,,,,,,
13089,21706,,,13089,,,,,,,,,,
15989,21711,,,15989,,,,,,,,,,
17660,20747,,,17660,,,,,,,,,,
12437,20752,,,12437,,,,,,,,,,
14841,20753,,,14841,,,,,,,,,,
14646,20751,,,14646,,,,,,,,,,
15482,48185,,,15482,,,,,,,,,,
16156,21481,,,16156,,,,,,,,,,
17716,85042,,,17716,,,,,,,,,,
12779,72760B,,,12779,,,,,,,,,,
13611,22149,,,13611,,,,,,,,,,
15255,21482,,,15255,,,,,,,,,,
14771,21484,,,14771,,,,,,,,,,
14838,20967,,,14838,,,,,,,,,,
13979,20970,,,13979,,,,,,,,,,
13800,84582,,,13800,,,,,,,,,,
14483,20972,,,14483,,,,,,,,,,
14915,84327A,,,14915,,,,,,,,,,
13753,21490,,,13753,,,,,,,,,,
16301,21063,,,16301,,,,,,,,,,
13931,21058,,,13931,,,,,,,,,,
12705,84997D,,,12705,,,,,,,,,,
17035,84997C,,,17035,,,,,,,,,,
15194,22301,,,15194,,,,,,,,,,
14347,22300,,,14347,,,,,,,,,,
12934,21231,,,12934,,,,,,,,,,
12484,20870,,,12484,,,,,,,,,,
14895,90121B,,,14895,,,,,,,,,,
15291,90175A,,,15291,,,,,,,,,,
17209,90195B,,,17209,,,,,,,,,,
15658,90062,,,15658,,,,,,,,,,
17314,21930,,,17314,,,,,,,,,,
17155,21540,,,17155,,,,,,,,,,
15965,21533,,,15965,,,,,,,,,,
17322,85083,,,17322,,,,,,,,,,
16159,21472,,,16159,,,,,,,,,,
14051,47566B,,,14051,,,,,,,,,,
13993,22275,,,13993,,,,,,,,,,
17411,21479,,,17411,,,,,,,,,,
15768,21791,,,15768,,,,,,,,,,
12835,71477,,,12835,,,,,,,,,,
15179,37449,,,15179,,,,,,,,,,
17069,37446,,,17069,,,,,,,,,,
16918,21258,,,16918,,,,,,,,,,
15466,20892,,,15466,,,,,,,,,,
14159,47591D,,,14159,,,,,,,,,,
17940,21867,,,17940,,,,,,,,,,
17581,82551,,,17581,,,,,,,,,,
16168,82567,,,16168,,,,,,,,,,
14606,82613D,,,14606,,,,,,,,,,
17287,21179,,,17287,,,,,,,,,,
17913,21865,,,17913,,,,,,,,,,
13416,72783,,,13416,,,,,,,,,,
16779,20719,,,16779,,,,,,,,,,
13895,21869,,,13895,,,,,,,,,,
14057,21876,,,14057,,,,,,,,,,
17017,84849B,,,17017,,,,,,,,,,
13208,21864,,,13208,,,,,,,,,,
17465,21470,,,17465,,,,,,,,,,
13468,20897,,,13468,,,,,,,,,,
13485,44230,,,13485,,,,,,,,,,
17271,37485,,,17271,,,,,,,,,,
16139,84997A,,,16139,,,,,,,,,,
15953,21245,,,15953,,,,,,,,,,
15856,21241,,,15856,,,,,,,,,,
14967,21705,,,14967,,,,,,,,,,
16497,21913,,,16497,,,,,,,,,,
17764,16207A,,,17764,,,,,,,,,,
14905,21821,,,14905,,,,,,,,,,
18229,22319,,,18229,,,,,,,,,,
13001,21584,,,13001,,,,,,,,,,
17293,21931,,,17293,,,,,,,,,,
17853,47591A,,,17853,,,,,,,,,,
15550,84997B,,,15550,,,,,,,,,,
13531,22122,,,13531,,,,,,,,,,
13786,21837,,,13786,,,,,,,,,,
14952,84951A,,,14952,,,,,,,,,,
14031,22335,,,14031,,,,,,,,,,
12937,85129A,,,12937,,,,,,,,,,
16612,84791,,,16612,,,,,,,,,,
12949,21244,,,12949,,,,,,,,,,
14958,20675,,,14958,,,,,,,,,,
17329,82616B,,,17329,,,,,,,,,,
